Date,Year,Magnitude,Depth,City,Season,Region
23/11/2022,2022,5.9,6.81,Düzce,Sonbahar,Karadeniz
21/11/2022,2022,5.4,49.24,Muğla,Sonbahar,Ege
11/10/2022,2022,5.1,7.0,Osmaniye,Sonbahar,Akdeniz
27/09/2022,2022,5.0,9.45,Ardahan,Sonbahar,Diğer / Deniz
03/09/2022,2022,5.3,6.76,Muğla,Sonbahar,Ege
31/08/2022,2022,5.1,7.03,Aydın,Yaz,Ege
14/08/2022,2022,5.0,7.0,İzmir,Yaz,Ege
12/06/2022,2022,5.0,18.62,Van,Yaz,Doğu Anadolu
09/04/2022,2022,5.2,6.72,Malatya,İlkbahar,Doğu Anadolu
05/01/2022,2022,5.3,39.52,Antalya,Kış,Akdeniz
26/12/2021,2021,5.5,36.2,Muğla,Kış,Ege
30/11/2021,2021,5.1,7.0,İzmir,Sonbahar,Ege
19/11/2021,2021,5.1,5.18,Erzurum,Sonbahar,Doğu Anadolu
17/11/2021,2021,5.0,18.29,Düzce,Sonbahar,Karadeniz
08/11/2021,2021,5.1,6.82,Konya,Sonbahar,İç Anadolu
19/10/2021,2021,6.0,36.1,Antalya,Sonbahar,Akdeniz
31/08/2021,2021,5.0,12.07,Kütahya,Yaz,Ege
03/08/2021,2021,5.0,7.61,Muğla,Yaz,Ege
01/08/2021,2021,5.5,10.86,Muğla,Yaz,Ege
25/06/2021,2021,5.2,15.51,Bingöl,Yaz,Doğu Anadolu
22/06/2021,2021,5.3,14.74,Muğla,Yaz,Ege
13/04/2021,2021,5.1,8.57,Muğla,İlkbahar,Ege
01/02/2021,2021,5.1,17.62,İzmir,Kış,Ege
01/02/2021,2021,5.1,20.69,İzmir,Kış,Ege
27/12/2020,2020,5.3,15.94,Elazığ,Kış,Doğu Anadolu
05/12/2020,2020,5.2,77.22,Antalya,Kış,Akdeniz
03/12/2020,2020,5.0,14.02,Siirt,Kış,Güneydoğu Anadolu
31/10/2020,2020,5.0,7.33,İzmir,Sonbahar,Ege
30/10/2020,2020,5.1,7.73,İzmir,Sonbahar,Ege
30/10/2020,2020,6.6,14.9,İzmir,Sonbahar,Ege
12/10/2020,2020,5.0,11.12,Muğla,Sonbahar,Ege
20/09/2020,2020,5.1,6.2,Niğde,Sonbahar,İç Anadolu
04/08/2020,2020,5.2,8.16,Malatya,Yaz,Doğu Anadolu
28/06/2020,2020,5.2,63.72,Muğla,Yaz,Ege
26/06/2020,2020,5.5,9.29,Manisa,Yaz,Ege
25/06/2020,2020,5.4,7.48,Van,Yaz,Doğu Anadolu
15/06/2020,2020,5.6,7.01,Bingöl,Yaz,Doğu Anadolu
14/06/2020,2020,5.7,8.0,Bingöl,Yaz,Doğu Anadolu
05/06/2020,2020,5.0,6.98,Malatya,Yaz,Doğu Anadolu
19/03/2020,2020,5.0,7.39,Elazığ,İlkbahar,Doğu Anadolu
18/02/2020,2020,5.2,14.68,Manisa,Kış,Ege
30/01/2020,2020,5.5,12.11,Muğla,Kış,Ege
30/01/2020,2020,5.4,11.35,Muğla,Kış,Ege
28/01/2020,2020,5.4,25.0,Muğla,Kış,Ege
25/01/2020,2020,5.1,16.4,Elazığ,Kış,Doğu Anadolu
24/01/2020,2020,6.8,8.06,Elazığ,Kış,Doğu Anadolu
22/01/2020,2020,5.4,10.35,Manisa,Kış,Ege
11/12/2019,2019,5.1,22.63,Muğla,Kış,Ege
03/10/2019,2019,5.0,18.74,Muğla,Sonbahar,Ege
26/09/2019,2019,5.8,7.97,İstanbul,Sonbahar,Marmara
08/08/2019,2019,6.0,10.92,Denizli,Yaz,Ege
03/08/2019,2019,5.0,68.3,Muğla,Yaz,Ege
04/04/2019,2019,5.2,8.92,Elazığ,İlkbahar,Doğu Anadolu
20/03/2019,2019,5.5,10.76,Denizli,İlkbahar,Ege
20/02/2019,2019,5.0,5.8,Çanakkale,Kış,Marmara
24/01/2019,2019,5.1,51.33,Muğla,Kış,Ege
12/09/2018,2018,5.2,36.68,Antalya,Sonbahar,Akdeniz
24/04/2018,2018,5.1,9.79,Adıyaman,İlkbahar,Güneydoğu Anadolu
25/11/2017,2017,5.1,24.46,Muğla,Sonbahar,Ege
22/11/2017,2017,5.0,24.75,Muğla,Sonbahar,Ege
08/08/2017,2017,5.1,11.03,Muğla,Yaz,Ege
21/07/2017,2017,5.0,37.5,Muğla,Yaz,Ege
21/07/2017,2017,6.5,19.44,Muğla,Yaz,Ege
22/06/2017,2017,5.0,13.5,İzmir,Yaz,Ege
17/06/2017,2017,5.3,10.25,İzmir,Yaz,Ege
12/06/2017,2017,6.2,15.96,İzmir,Yaz,Ege
27/05/2017,2017,5.1,11.03,Manisa,İlkbahar,Ege
13/04/2017,2017,5.0,11.33,Muğla,İlkbahar,Ege
02/03/2017,2017,5.5,9.76,Adıyaman,İlkbahar,Güneydoğu Anadolu
12/02/2017,2017,5.3,7.0,Çanakkale,Kış,Marmara
10/02/2017,2017,5.0,7.79,Çanakkale,Kış,Marmara
07/02/2017,2017,5.2,11.92,Çanakkale,Kış,Marmara
06/02/2017,2017,5.3,9.83,Çanakkale,Kış,Marmara
06/02/2017,2017,5.3,8.86,Çanakkale,Kış,Marmara
25/01/2017,2017,5.0,37.39,Muğla,Kış,Ege
20/12/2016,2016,5.1,118.3,Muğla,Kış,Ege
27/09/2016,2016,5.2,50.63,Muğla,Sonbahar,Ege
10/01/2016,2016,5.0,13.6,Kırşehir,Kış,İç Anadolu
26/12/2015,2015,5.2,12.78,Muğla,Kış,Ege
03/12/2015,2015,5.3,10.66,Bingöl,Kış,Doğu Anadolu
29/11/2015,2015,5.0,17.45,Malatya,Sonbahar,Doğu Anadolu
07/10/2015,2015,5.2,34.23,Antalya,Sonbahar,Akdeniz
30/07/2015,2015,5.0,29.68,Adana,Yaz,Akdeniz
10/06/2015,2015,5.1,12.74,Muğla,Yaz,Ege
17/04/2015,2015,5.2,5.7,Muğla,İlkbahar,Ege
16/04/2015,2015,5.9,12.34,Muğla,İlkbahar,Ege
28/03/2015,2015,5.0,56.13,Muğla,İlkbahar,Ege
06/12/2014,2014,5.1,22.48,İzmir,Kış,Ege
05/09/2014,2014,5.2,41.03,Antalya,Sonbahar,Akdeniz
11/06/2014,2014,5.2,50.36,Antalya,Yaz,Akdeniz
24/05/2014,2014,5.3,6.98,Çanakkale,İlkbahar,Marmara
24/05/2014,2014,6.5,25.48,Çanakkale,İlkbahar,Marmara
28/12/2013,2013,6.0,43.6,Antalya,Kış,Akdeniz
08/12/2013,2013,5.0,65.0,Antalya,Kış,Akdeniz
30/07/2013,2013,5.3,20.01,Çanakkale,Yaz,Marmara
08/01/2013,2013,5.6,22.9,Çanakkale,Kış,Marmara
19/09/2012,2012,5.1,22.35,Kahramanmaraş,Sonbahar,Akdeniz
05/08/2012,2012,5.3,12.94,Şırnak,Yaz,Doğu Anadolu
22/07/2012,2012,5.0,4.56,Kahramanmaraş,Yaz,Akdeniz
09/07/2012,2012,6.0,40.45,Antalya,Yaz,Akdeniz
05/07/2012,2012,5.0,34.09,Muğla,Yaz,Ege
25/06/2012,2012,5.3,34.02,Muğla,Yaz,Ege
24/06/2012,2012,5.0,23.62,Van,Yaz,Doğu Anadolu
14/06/2012,2012,5.5,11.68,Şırnak,Yaz,Doğu Anadolu
10/06/2012,2012,5.0,26.85,Muğla,Yaz,Ege
10/06/2012,2012,6.0,33.77,Muğla,Yaz,Ege
07/06/2012,2012,5.1,26.96,Tekirdağ,Yaz,Marmara
03/05/2012,2012,5.4,10.59,Kütahya,İlkbahar,Ege
01/05/2012,2012,5.0,26.27,İzmir,İlkbahar,Ege
26/03/2012,2012,5.0,16.96,Muş,İlkbahar,Doğu Anadolu
05/12/2011,2011,5.0,33.8,İzmir,Kış,Ege
30/11/2011,2011,5.0,19.79,Van,Sonbahar,Doğu Anadolu
18/11/2011,2011,5.2,8.0,Van,Sonbahar,Doğu Anadolu
15/11/2011,2011,5.1,23.32,Van,Sonbahar,Doğu Anadolu
09/11/2011,2011,5.6,21.47,Van,Sonbahar,Doğu Anadolu
09/11/2011,2011,5.4,8.36,Van,Sonbahar,Doğu Anadolu
27/10/2011,2011,5.6,21.61,Hakkari,Sonbahar,Doğu Anadolu
25/10/2011,2011,5.4,17.44,Van,Sonbahar,Doğu Anadolu
24/10/2011,2011,5.0,17.27,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.8,6.79,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.0,22.09,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.0,19.81,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.5,22.61,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.3,7.48,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,5.8,19.92,Van,Sonbahar,Doğu Anadolu
23/10/2011,2011,6.7,19.02,Van,Sonbahar,Doğu Anadolu
22/09/2011,2011,5.4,7.18,Erzincan,Sonbahar,Doğu Anadolu
25/07/2011,2011,5.1,6.97,Balıkesir,Yaz,Marmara
28/06/2011,2011,5.0,18.27,Kütahya,Yaz,Ege
23/06/2011,2011,5.3,13.42,Elazığ,Yaz,Doğu Anadolu
19/05/2011,2011,5.7,24.46,Kütahya,İlkbahar,Ege
01/04/2011,2011,6.2,8.99,Muğla,İlkbahar,Ege
15/11/2010,2010,5.1,24.17,Hatay,Sonbahar,Akdeniz
03/11/2010,2010,5.1,28.9,Çanakkale,Sonbahar,Marmara
24/03/2010,2010,5.0,22.57,Elazığ,İlkbahar,Doğu Anadolu
08/03/2010,2010,5.0,11.75,Elazığ,İlkbahar,Doğu Anadolu
08/03/2010,2010,5.0,4.91,Elazığ,İlkbahar,Doğu Anadolu
08/03/2010,2010,5.6,15.15,Elazığ,İlkbahar,Doğu Anadolu
08/03/2010,2010,5.8,5.01,Elazığ,İlkbahar,Doğu Anadolu
17/01/2010,2010,5.1,24.75,Muğla,Kış,Ege
22/12/2009,2009,5.6,14.54,Antalya,Kış,Akdeniz
07/07/2009,2009,5.0,12.47,Malatya,Yaz,Doğu Anadolu
19/06/2009,2009,5.6,23.83,Antalya,Yaz,Akdeniz
29/12/2008,2008,5.1,2.94,Çanakkale,Kış,Marmara
16/07/2008,2008,5.2,28.48,Muğla,Yaz,Ege
15/07/2008,2008,6.1,57.42,Muğla,Yaz,Ege
25/04/2008,2008,5.0,18.83,Denizli,İlkbahar,Ege
15/03/2008,2008,5.0,12.87,Ankara,İlkbahar,İç Anadolu
12/03/2008,2008,5.0,23.99,Yalova,İlkbahar,Marmara
27/12/2007,2007,5.5,16.84,Ankara,Kış,İç Anadolu
20/12/2007,2007,5.6,2.8,Ankara,Kış,İç Anadolu
09/11/2007,2007,5.1,15.88,İzmir,Sonbahar,Ege
29/10/2007,2007,5.0,23.42,Denizli,Sonbahar,Ege
23/09/2007,2007,5.2,5.16,Muğla,Sonbahar,Ege
26/08/2007,2007,5.5,23.88,Bingöl,Yaz,Doğu Anadolu
28/02/2007,2007,5.2,26.11,Diyarbakır,Kış,Güneydoğu Anadolu
21/02/2007,2007,5.4,8.51,Elazığ,Kış,Doğu Anadolu
09/02/2007,2007,5.0,25.64,Elazığ,Kış,Doğu Anadolu
21/01/2007,2007,5.1,5.32,Ağrı,Kış,Doğu Anadolu
24/10/2006,2006,5.2,7.89,Yalova,Sonbahar,Marmara
20/10/2006,2006,5.2,16.7,Balıkesir,Sonbahar,Marmara
10/12/2005,2005,5.2,18.94,Bingöl,Kış,Doğu Anadolu
26/11/2005,2005,5.2,19.05,Malatya,Sonbahar,Doğu Anadolu
21/10/2005,2005,5.9,15.4,İzmir,Sonbahar,Ege
17/10/2005,2005,5.5,11.06,İzmir,Sonbahar,Ege
17/10/2005,2005,5.8,18.6,İzmir,Sonbahar,Ege
17/10/2005,2005,5.0,20.47,İzmir,Sonbahar,Ege
24/08/2005,2005,5.2,26.93,Çanakkale,Yaz,Marmara
06/06/2005,2005,5.1,10.5,Bingöl,Yaz,Doğu Anadolu
23/03/2005,2005,5.4,12.0,Bingöl,İlkbahar,Doğu Anadolu
